Element;Categorie;Sous_categorie;Phase;Propriété;IFC_Reference;Revit_Param;Requis
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Statut ;ePset_ElectricApplianceTypeCommon.Status;Phase Created;Oui
Appareil de données;Documentation;Descriptifs;APD;Prescriptions;;;Oui
Appareil de données;Documentation;Descriptifs;PDE;Prescriptions;;;Oui
Appareil de données;Documentation;Descriptifs;EXE;Prescriptions;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;PDE;Protocole de communication;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Protocole de communication;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Protocole de communication;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Notice de montage;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Notice de montage;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Protocole de mesure;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Protocole de mesure;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Notice de maintenance;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Notice de maintenance;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXE;Carnet d'entretien;;;Oui
Appareil de données;Documentation;Maintenance et fiches techniques;EXP;Carnet d'entretien;;;Oui
Appareil de données;Documentation;Plans et schémas;PDE;Schéma unifilaire;;;Oui
Appareil de données;Documentation;Plans et schémas;EXE;Schéma unifilaire;;;Oui
Appareil de données;Documentation;Plans et schémas;EXP;Schéma unifilaire;;;Oui
Appareil de données;Classification;Uniformat II 2010;Toutes;D6010 – Data Communications;;;Oui
Appareil de données;Classification;DIN276;Toutes;"KG455 – Audiovisuelle Medien- und Antennenanlagen
KG457 – Datenüberstragungsnetze (Kommunikations-, sicherheits- und informationstechnische Anlagen)
KG485 – Datenübertragungsnetze (Gebäude- und Anlagenautomation)";;;Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Congélateur;IfcElectricApplianceType.FREEZER;Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Combiné réfrigérateur=congélateur;IfcElectricApplianceType.FRIDGE_FREEZER;Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Frigo;IfcElectricApplianceType.REFRIGERATOR;Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Réfrigérateur;IfcElectricApplianceType.REFRIGERATOR;Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Lave-vaisselle;IfcElectricApplianceType.DISHWASHER;Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Micro-onde;IfcElectricApplianceType.MICROWAVE;Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Photocopieur;IfcElectricApplianceType.PHOTOCOPIER;Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Plaque de cuisson;IfcElectricApplianceType.ELECTRICCOOKER;Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Taque de cuisson;IfcElectricApplianceType.ELECTRICCOOKER;Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Robot de cuisine;IfcElectricApplianceType.USERDEFINED[KITCHENMACHINE];Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Sèche-cheveux fixe;IfcElectricApplianceType.USERDEFINED[HAIRDRYER];Electrical Equipment [BIMids Classification:Electric appliance];Oui
Appareil électrique;Classe et type IFC;Types IFC;Toutes;Sèche-main;IfcElectricApplianceType.HANDDRYER;Electrical Equipment [BIMids Classification:Electric appliance];Oui
