Element,Categorie,Sous_categorie,Phase,Type de document,Propriété,Paramètre IFC,Paramètre Revit_ENG,Nom,IFC Type,Catégorie Revit,Classification,Numéro - Description
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Type IFC,IfcElectricApplianceType.PredefinedType,Type IFC Predefined Type,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IfcElectricApplianceType.PredefinedType,Type IFC Predefined Type,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IfcElectricApplianceType.PredefinedType,Type IFC Predefined Type,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IfcElectricApplianceType.PredefinedType,Type IFC Predefined Type,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Statut,ePset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Statut,ePset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Statut,ePset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Statut,ePset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil de données,Documentation,Descriptifs,APD,Prescriptions,,,,,,,,
